CustomerID,FirstName,MiddleName,LastName,AddressLine1,AddressLine2,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,CreditAcceptance
11000,Jon,V,Yang,3761 N. 14th St,,Rockhampton,Queensland,Australia,4700,1 (11) 500 555-0162,4/8/1966,Bachelors ,Professional,M,M,1,0,0,2,137947,good
11001,Eugene,L,Huang,2243 W St.,,Seaford,Victoria,Australia,3198,1 (11) 500 555-0110,5/14/1965,Bachelors ,Professional,M,S,0,1,3,3,101141,good
11002,Ruben,,Torres,5844 Linden Land,,Hobart,Tasmania,Australia,7001,1 (11) 500 555-0184,8/12/1965,Bachelors ,Professional,M,M,1,1,3,3,91945,average
11003,Christy,,Zhu,1825 Village Pl.,,North Ryde,New South Wales,Australia,2113,1 (11) 500 555-0162,2/15/1968,Bachelors ,Professional,F,S,0,1,0,0,86688,good
11004,Elizabeth,,Johnson,7553 Harness Circle,,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0131,8/8/1968,Bachelors ,Professional,F,S,1,4,5,5,92771,good
11005,Julio,,Ruiz,7305 Humphrey Drive,,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0151,8/5/1965,Bachelors ,Professional,M,S,1,1,0,0,103199,good
11006,Janet,G,Alvarez,2612 Berry Dr,,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0184,12/6/1965,Bachelors ,Professional,F,S,1,1,0,0,84756,good
11007,Marco,,Mehta,942 Brook Street,,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0126,5/9/1964,Bachelors ,Professional,M,M,1,2,3,3,109759,average
11008,Rob,,Verhoff,624 Peabody Road,,Bendigo,Victoria,Australia,3550,1 (11) 500 555-0164,7/7/1964,Bachelors ,Professional,F,S,1,3,4,4,88005,bad
11009,Shannon,C,Carlson,3839 Northgate Road,,Hervey Bay,Queensland,Australia,4655,1 (11) 500 555-0110,4/1/1964,Bachelors ,Professional,M,S,0,1,0,0,106399,good
11010,Jacquelyn,C,Suarez,7800 Corrinne Court,,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0169,2/6/1964,Bachelors ,Professional,F,S,0,1,0,0,81294,good
11011,Curtis,,Lu,1224 Shoenic,,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0117,11/4/1963,Bachelors ,Professional,M,M,1,4,4,4,94029,bad
11012,Lauren,M,Walker,4785 Scott Street,,Bremerton,Washington,United States,98312,717-555-0164,1/18/1968,Bachelors ,Management,F,M,1,2,0,2,99245,average
11013,Ian,M,Jenkins,7902 Hudson Ave.,,Lebanon,Oregon,United States,97355,817-555-0185,8/6/1968,Bachelors ,Management,M,M,1,3,0,2,115859,good
11014,Sydney,,Bennett,9011 Tank Drive,,Redmond,Washington,United States,98052,431-555-0156,5/9/1968,Bachelors ,Management,F,S,0,3,0,3,105157,average
11015,Chloe,,Young,244 Willow Pass Road,,Burbank,California,United States,91502,208-555-0142,2/27/1979,Partial College,Skilled Manual,F,S,0,1,0,0,40011,good
21116,Carson,,Russell,7440 Dorset Way,,Billericay,England,United Kingdom,CM11,1 (11) 500 555-0118,12/13/1976,High School,Manual,M,M,0,1,0,0,10279,average
11019,Luke,L,Lal,7832 Landing Dr,,Langley,British Columbia,Canada,V3A 4R2,262-555-0112,3/7/1978,High School,Skilled Manual,M,S,0,2,0,0,49455,good
11020,Jordan,C,King,7156 Rose Dr.,,Metchosin,British Columbia,Canada,V9,550-555-0163,9/20/1978,High School,Skilled Manual,M,S,0,2,0,0,43857,good
26980,Marc,,Suarez,Winterfeldtstr 29,,Grevenbroich,Bayern,Germany,41485,1 (11) 500 555-0172,7/8/1972,Partial High School,Manual,M,M,1,2,0,0,10424,average
20986,Brandi,L,Blanco,9669 Alhambra Court,,Brisbane,Queensland,Australia,4000,1 (11) 500 555-0171,4/27/1977,High School,Manual,F,M,1,1,0,0,11281,average
11025,Alejandro,,Beck,2596 Franklin Canyon Road,,Hawthorne,Queensland,Australia,4171,1 (11) 500 555-0178,12/23/1945,Partial High School,Clerical,M,M,1,2,1,2,24334,bad
11026,Harold,,Sai,8211 Leeds Ct.,,Goulburn,New South Wales,Australia,2580,1 (11) 500 555-0131,4/3/1946,Partial College,Clerical,M,S,0,2,0,2,61905,average
11027,Jessie,R,Zhao,213 Valencia Place,,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0184,12/7/1946,Partial College,Clerical,M,M,1,2,0,2,49349,average
11028,Jill,,Jimenez,9111 Rose Ann Ave,,St. Leonards,New South Wales,Australia,2065,1 (11) 500 555-0116,4/11/1946,Partial College,Clerical,F,M,1,2,0,2,44068,average
11031,Theresa,G,Ramos,6465 Detroit Ave.,,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0195,8/22/1947,High School,Skilled Manual,F,M,1,2,0,4,18843,bad
11032,Denise,,Stone,626 Bentley Street,,Melbourne,Victoria,Australia,3000,1 (11) 500 555-0169,6/11/1947,High School,Skilled Manual,F,M,1,2,0,4,15861,bad
11033,Jaime,,Nath,5927 Rainbow Dr,,Milsons Point,New South Wales,Australia,2061,1 (11) 500 555-0137,9/23/1947,High School,Skilled Manual,M,M,1,2,0,4,35822,bad
11034,Ebony,,Gonzalez,5167 Condor Place,,North Sydney,New South Wales,Australia,2055,1 (11) 500 555-0136,6/19/1947,High School,Skilled Manual,F,M,1,2,0,4,29017,bad
11035,Wendy,,Dominguez,1873 Mt. Whitney Dr,,Cranbourne,Victoria,Australia,3977,1 (11) 500 555-0177,2/24/1948,Partial High School,Clerical,F,M,1,2,1,2,11721,average
22700,Gina,,Serrano,Pappelallee 961,,Berlin,Hessen,Germany,12171,1 (11) 500 555-0113,6/7/1975,Partial High School,Manual,F,M,0,2,0,0,11289,average
